Var no.,Static or (change) variable,Equivalent?,Complementary ,Synthetic,InVar no.,Section,Subsection,Category,Subcategory,Subcategory 2,Subcategory 3,Value (TO UPDATE),Unit,Unit description,InVar min value,InVar max value,Short methodology desc
727,,,,,,Emissions,Greenhouse gases,Industry and Energy,Energetic emissions (other greenhouse gases),Industry,,67%,change,from 100% as base year,,,"33% reduction, approx 1% per year"
728,,,,,,Emissions,Greenhouse gases,Industry and Energy,Energetic emissions (other greenhouse gases),Energy sector,,67%,,,,,
729,,,,,,Emissions,Greenhouse gases,Agriculture,Non-energetic emissions (CO2),Manure,,67%,change,from 100% as base year,,,"33% reduction, approx 1% per year"
730,,,,,,Emissions,Greenhouse gases,Agriculture,Non-energetic emissions (CO2),Soil cultivation,,67%,,,,,
731,,,,,,Emissions,Greenhouse gases,Agriculture,Non-energetic emissions (other greenhouse gases),Manure,,67%,change,from 100% as base year,,,"33% reduction, approx 1% per year"
732,,,,,,Emissions,Greenhouse gases,Agriculture,Non-energetic emissions (other greenhouse gases),Soil cultivation,,67%,,,,,
733,,,,,,Emissions,Greenhouse gases,Agriculture,Non-energetic emissions (other greenhouse gases),Fermentation,,67%,,,,,
734,,,,,,Emissions,Greenhouse gases,Agriculture,Non-energetic emissions (other greenhouse gases),Other activities,,67%,,,,,
735,,,,,,Emissions,Greenhouse gases,Agriculture,Energetic emissions (other greenhouse gases),Agriculture,,67%,change,from 100% as base year,,,"33% reduction, approx 1% per year"
736,,,,,,Emissions,Greenhouse gases,Indirect emissions,Indirect emissions,,,67%,change,from 100% as base year,,,"33% reduction, approx 1% per year"
737,,,,,,Emissions,Greenhouse gases,Delayed emissions,Delayed emitted,,,100%,share,of Co2 emissions which are included in emissions calculations,,,
738,,,,,,Emissions,Greenhouse gases,Delayed emissions,Indefinitely delayed,,,0%,share,corollary of the above,,,
739,,,,,,Emissions,CCUS,Capture of CO2 in energy sector,Direct air capture,Direct air capture (DAC),,0%,,,,,Exclude carbon capture in initial analysis. Use later for comparing optimum points
740,,,,,,Emissions,CCUS,Capture of CO2 in energy sector,Conventional power plants,Pulverised coal + CCS,,0%,,,,,Exclude carbon capture in initial analysis. Use later for comparing optimum points
741,,,,,,Emissions,CCUS,Capture of CO2 in energy sector,Conventional power plants,Coal IGCC + CCS,,0%,,,,,
742,,,,,,Emissions,CCUS,Capture of CO2 in energy sector,Conventional power plants,Gas CCGT + CCS,,0%,,,,,
743,,,,,,Emissions,CCUS,Capture of CO2 in energy sector,Conventional power plants,Waste CHP + CCS (HT),,0%,,,,,
744,,,,,,Emissions,CCUS,Capture of CO2 in energy sector,Conventional power plants,Waste CHP + CCS (MT),,0%,,,,,
745,,,,,,Emissions,CCUS,Capture of CO2 in energy sector,Conventional power plants,Waste incinerator + CCS,,0%,,,,,
746,,,,,,Emissions,CCUS,Capture of CO2 in energy sector,Biomass power plants,Biomass power plant + CCS (must-run),,0%,,,,,Exclude carbon capture in initial analysis. Use later for comparing optimum points
747,,,,,,Emissions,CCUS,Capture of CO2 in energy sector,Biomass power plants,Biomass power plant + CCS (dispatchable),,0%,,,,,
748,,,,,,Emissions,CCUS,Capture of CO2 in energy sector,Biomass power plants,Biomass CHP + CCS (MT) (must-run),,0%,,,,,
749,,,,,,Emissions,CCUS,Capture of CO2 in energy sector,Biomass power plants,Biomass CHP + CCS (MT) (dispatchable),,0%,,,,,
750,,,,,,Emissions,CCUS,Capture of CO2 in energy sector,Biomass power plants,Biomass CHP + CCS (HT) (must-run),,0%,,,,,
751,,,,,,Emissions,CCUS,Capture of CO2 in energy sector,Biomass power plants,Biomass CHP + CCS (HT) (dispatchable),,0%,,,,,
752,,,,,,Emissions,CCUS,Capture of CO2 in energy sector,Hydrogen,Steam methane reforming (must-run) + CCS,,0%,,,,,Exclude carbon capture in initial analysis. Use later for comparing optimum points
753,,,,,,Emissions,CCUS,Capture of CO2 in energy sector,Hydrogen,Autothermal reforming (must-run) + CCS,,0%,,,,,
754,,,,,,Emissions,CCUS,Capture of CO2 in energy sector,Hydrogen,Biomass gasification + CCS,,0%,,,,,
755,,,,,,Emissions,CCUS,Capture of CO2 in industry sector ,Industry,Steel industry,,0%,,,,,Exclude carbon capture in initial analysis. Use later for comparing optimum points
756,,,,,,Emissions,CCUS,Capture of CO2 in industry sector ,Industry,Fertilizer industry (process),,0%,,,,,
757,,,,,,Emissions,CCUS,Capture of CO2 in industry sector ,Industry,Fertilizer industry (combustion),,0%,,,,,
758,,,,,,Emissions,CCUS,Capture of CO2 in industry sector ,Industry,Paper industry,,0%,,,,,
759,,,,,,Emissions,CCUS,Capture of CO2 in industry sector ,Industry,Food industry,,0%,,,,,
760,,,,,,Emissions,CCUS,Import of CO2,Import CO2,,,0%,,,,,Exclude carbon capture in initial analysis. Use later for comparing optimum points
761,,,,,,Emissions,CCUS,Utilisation and storage of CO2,Sequestration ,Offshore storage,,0%,,,,,Exclude carbon capture in initial analysis. Use later for comparing optimum points
762,,,,,,Emissions,CCUS,Utilisation and storage of CO2,Utilisation (must-run),Synthetic kerosene,,0%,,,,,Exclude carbon capture in initial analysis. Use later for comparing optimum points
763,,,,,,Emissions,CCUS,Utilisation and storage of CO2,Utilisation (must-run),Synthetic methanol,,0%,,,,,
764,,,,,,Emissions,CCUS,Utilisation and storage of CO2,Utilisation (must-run),Other utilisation,,0%,,,,,
765,,,,,,Emissions,CCUS,Utilisation and storage of CO2,Utilisation (dispatchable),Synthetic kerosene,,0%,,,,,Exclude carbon capture in initial analysis. Use later for comparing optimum points
766,,,,,,Emissions,CCUS,Utilisation and storage of CO2,Transport of CO2,Pipelines,,50%,,,,,Exclude carbon capture in initial analysis. Use later for comparing optimum points
767,,,,,,Emissions,CCUS,Utilisation and storage of CO2,Transport of CO2,Liquefied in ships,,50%,,,,,
768,,,,,,Emissions,Emission factors,CO2 emissions of imported heat,CO2 emissions of imported heat,,,0,,,,,No imported heat
769,,,,,,Emissions,Emission factors,CO2 emissions of imported hydrogen carriers and ammonia,Hydrogen,,,140.5,kg/MWh,,,,"Half produced by steam methane reforming, half from zero carbon sources"
770,,,,,,Emissions,Emission factors,CO2 emissions of imported hydrogen carriers and ammonia,Liquid hydrogen,,,140.5,kg/MWh,,,,
771,,,,,,Emissions,Emission factors,CO2 emissions of imported hydrogen carriers and ammonia,LOHC,,,148,kg/MWh,,,,See above. Half of default ETM value (which reflects 100% steam methane reforming)
772,,,,,,Emissions,Emission factors,CO2 emissions of imported hydrogen carriers and ammonia,Ammonia,,,174,kg/MWh,,,,See above. Half of default ETM value (which reflects 100% steam methane reforming)
773,,,,,,Costs & efficiencies,Electricity,Coal plants,Costs,Investment costs coal plant,,0%,,,,,
774,,,,,,Costs & efficiencies,Electricity,Coal plants,Costs,O&M costs coal plant,,0%,,,,,
775,,,,,,Costs & efficiencies,Electricity,Coal plants,Efficiencies (LHV),Pulverized coal,,46%,,,,,
776,,,,,,Costs & efficiencies,Electricity,Coal plants,Efficiencies (LHV),Pulverized coal with co-firing,,42%,,,,,
777,,,,,,Costs & efficiencies,Electricity,Coal plants,Efficiencies (LHV),Coal IGCC,,45%,,,,,
778,,,,,,Costs & efficiencies,Electricity,Coal plants,Efficiencies (LHV),Coal conventional ,,34%,,,,,
779,,,,,,Costs & efficiencies,Electricity,Coal plants,Efficiencies (LHV),Coal CHP - electricity,,40%,,,,,
780,,,,,,Costs & efficiencies,Electricity,Coal plants,Efficiencies (LHV),Coal CHP - heat,,40%,,,,,
781,,,,,,Costs & efficiencies,Electricity,Coal plants,Efficiencies (LHV),Co-firing coal CHP - electricity,,37%,,,,,
782,,,,,,Costs & efficiencies,Electricity,Coal plants,Efficiencies (LHV),Co-firing coal CHP - heat,,14%,,,,,
783,,,,,,Costs & efficiencies,Electricity,Coal plants,Efficiencies (LHV),Coal CHP (industry) - electricity,,42%,,,,,
784,,,,,,Costs & efficiencies,Electricity,Coal plants,Efficiencies (LHV),Coal CHP (industry) - heat,,0%,,,,,
785,,,,,,Costs & efficiencies,Electricity,Gas plants,Costs,Investment costs gas plant,,0%,,,,,
786,,,,,,Costs & efficiencies,Electricity,Gas plants,Costs,O&M costs gas plant,,0%,,,,,
787,,,,,,Costs & efficiencies,Electricity,Gas plants,Efficiencies energy sector (LHV),Gas CCGT,,60%,,Upper end of existing range,,,
788,,,,,,Costs & efficiencies,Electricity,Gas plants,Efficiencies energy sector (LHV),Gas turbine,,34%,,,,,
789,,,,,,Costs & efficiencies,Electricity,Gas plants,Efficiencies energy sector (LHV),Gas conventional,,50%,,,,,
790,,,,,,Costs & efficiencies,Electricity,Gas plants,Efficiencies energy sector (LHV),Gas combustion engine,,48%,,,,,
791,,,,,,Costs & efficiencies,Electricity,Gas plants,Efficiencies energy sector (LHV),Large-scale gas CHP - electricity,,46%,,,,,
792,,,,,,Costs & efficiencies,Electricity,Gas plants,Efficiencies energy sector (LHV),Large-scale gas CHP - heat,,42%,,,,,
793,,,,,,Costs & efficiencies,Electricity,Gas plants,Efficiencies energy sector (LHV),Small-scale gas CHP - electricity,,43%,,,,,
794,,,,,,Costs & efficiencies,Electricity,Gas plants,Efficiencies energy sector (LHV),Small-scale gas CHP - heat,,47%,,,,,
795,,,,,,Costs & efficiencies,Electricity,Gas plants,Efficiencies industry sector (LHV),Gas CCGT CHP - electricity,,58%,,,,,
796,,,,,,Costs & efficiencies,Electricity,Gas plants,Efficiencies industry sector (LHV),Gas CCGT CHP - heat,,0%,,,,,
797,,,,,,Costs & efficiencies,Electricity,Gas plants,Efficiencies industry sector (LHV),Gas motor CHP - electricity,,42%,,,,,
798,,,,,,Costs & efficiencies,Electricity,Gas plants,Efficiencies industry sector (LHV),Gas motor CHP - heat,,48%,,,,,
799,,,,,,Costs & efficiencies,Electricity,Gas plants,Efficiencies industry sector (LHV),Gas turbine CHP - electricity ,,38%,,,,,
800,,,,,,Costs & efficiencies,Electricity,Gas plants,Efficiencies industry sector (LHV),Gas turbine CHP - heat,,42%,,,,,
801,,,,,,Costs & efficiencies,Electricity,Gas plants,Efficiencies agricultural sector (LHV),Gas motor CHP (dispatchable) - electricity,,43%,,,,,
802,,,,,,Costs & efficiencies,Electricity,Gas plants,Efficiencies agricultural sector (LHV),Gas motor CHP (dispatchable) - heat,,47%,,,,,
803,,,,,,Costs & efficiencies,Electricity,Gas plants,Efficiencies agricultural sector (LHV),Gas motor CHP (must-run) - electricity,,43%,,,,,
804,,,,,,Costs & efficiencies,Electricity,Gas plants,Efficiencies agricultural sector (LHV),Gas motor CHP (must-run) - heat,,47%,,,,,
805,,,,,,Costs & efficiencies,Electricity,Oil plants,Costs,Investment costs oil plants,,0%,,,,,
806,,,,,,Costs & efficiencies,Electricity,Oil plants,Costs,O&M costs oil plants,,0%,,,,,
807,,,,,,Costs & efficiencies,Electricity,Oil plants,Efficiencies (LHV),Oil-fired,,36%,,,,,
808,,,,,,Costs & efficiencies,Electricity,Oil plants,Efficiencies (LHV),Diesel generator,,38%,,,,,
809,,,,,,Costs & efficiencies,Electricity,Nuclear plants,Costs,Investment costs large reactors,,0%,,,,,
810,,,,,,Costs & efficiencies,Electricity,Nuclear plants,Costs,O&M costs large reactors,,0%,,,,,
811,,,,,,Costs & efficiencies,Electricity,Nuclear plants,Costs,Investment costs small reactors,,0%,,,,,
812,,,,,,Costs & efficiencies,Electricity,Nuclear plants,Costs,O&M costs small reactors,,0%,,,,,
813,,,,,,Costs & efficiencies,Electricity,Nuclear plants,Efficiences (LHV),Nuclear 2nd Gen,,36%,,,,,
814,,,,,,Costs & efficiencies,Electricity,Nuclear plants,Efficiences (LHV),Nuclear 3rd Gen,,36%,,,,,
815,,,,,,Costs & efficiencies,Electricity,Nuclear plants,Efficiences (LHV),Nuclear small modular reactor,,28%,,,,,
816,,,,,,Costs & efficiencies,Renewable electricity,Wind turbines,Costs,Investment costs onshore,,-20%,,Economies of scale cause c. 1% per year decline in cost,,,
817,,,,,,Costs & efficiencies,Renewable electricity,Wind turbines,Costs,O&M costs onshore,,-20%,,,,,
818,,,,,,Costs & efficiencies,Renewable electricity,Wind turbines,Costs,Investment costs offshore,,-20%,,,,,
819,,,,,,Costs & efficiencies,Renewable electricity,Wind turbines,Costs,O&M costs offshore,,-20%,,,,,
820,,,,,,Costs & efficiencies,Renewable electricity,Solar power,Costs,Investment costs solar panels,,-60%,,Based on Wright's law (-20% cost for every doubling cumulative capacity installed) and a 16x global increase in solar capacity between 2025 and 2050,,,
821,,,,,,Costs & efficiencies,Renewable electricity,Solar power,Costs,Investment costs concentrated solar power ,,-20%,,,,,
822,,,,,,Costs & efficiencies,Renewable electricity,Solar power,Efficiencies (LHV),Efficiency of solar panels ,,30%,,Average efficiency increases from roughly 20% now. The best lab tested cells reach 47.6% and ,,,
823,,,,,,Costs & efficiencies,Renewable electricity,Hydroelectric power,Costs,Investment costs hydro river,,0%,,,,,
824,,,,,,Costs & efficiencies,Renewable electricity,Hydroelectric power,Costs,O&M costs hydro river,,0%,,,,,
825,,,,,,Costs & efficiencies,Renewable electricity,Hydroelectric power,Costs,Investment costs hydro mountains,,0%,,,,,
826,,,,,,Costs & efficiencies,Renewable electricity,Hydroelectric power,Costs,O&M costs hydro mountains,,0%,,,,,
827,,,,,,Costs & efficiencies,Renewable electricity,Biomass plants,Costs,Investment costs biomass plants,,0%,,,,,
828,,,,,,Costs & efficiencies,Renewable electricity,Biomass plants,Costs,O&M costs biomass plant,,0%,,,,,
829,,,,,,Costs & efficiencies,Renewable electricity,Biomass plants,Efficiencies energy sector (LHV),Biomass CHP - electricity,,29%,,,,,
830,,,,,,Costs & efficiencies,Renewable electricity,Biomass plants,Efficiencies energy sector (LHV),Biomass CHP - heat,,82%,,,,,
831,,,,,,Costs & efficiencies,Renewable electricity,Biomass plants,Efficiencies energy sector (LHV),Biogas CHP - electricity ,,43%,,,,,
832,,,,,,Costs & efficiencies,Renewable electricity,Biomass plants,Efficiencies energy sector (LHV),Biogas CHP - heat,,47%,,,,,
833,,,,,,Costs & efficiencies,Renewable electricity,Biomass plants,Full load hours,Biomass power plant + CCS (must-run),,"7,500.00",,,,,
834,,,,,,Costs & efficiencies,Renewable electricity,Biomass plants,Full load hours,Biomass MT CHP + CCS (must-run),,"6,000.00",,,,,
835,,,,,,Costs & efficiencies,Renewable electricity,Biomass plants,Full load hours,Biomass HT CHP + CCS (must run),,"6,000.00",,,,,
836,,,,,,Costs & efficiencies,Renewable electricity,Biomass plants,Efficiencies industry sector (LHV),Biomass CHP - electricity,,30%,,,,,
837,,,,,,Costs & efficiencies,Renewable electricity,Biomass plants,Efficiencies industry sector (LHV),Biomass CHP - heat,,0%,,,,,
838,,,,,,Costs & efficiencies,Renewable electricity,Biomass plants,Efficiencies agricultural sector (LHV),Biomass CHP - electricity,,43%,,,,,
839,,,,,,Costs & efficiencies,Renewable electricity,Biomass plants,Efficiencies agricultural sector (LHV),Biomass CHP - heat,,47%,,,,,
840,,,,,,Costs & efficiencies,Renewable electricity,Biomass plants,Efficiencies agricultural sector (LHV),Biogas CHP - electricity ,,29%,,,,,
841,,,,,,Costs & efficiencies,Renewable electricity,Biomass plants,Efficiencies agricultural sector (LHV),Biogas CHP - heat ,,84%,,,,,
842,,,,,,Costs & efficiencies,Renewable electricity,Waste power,Costs,Investment costs waste incinerator,,0%,,,,,
843,,,,,,Costs & efficiencies,Renewable electricity,Waste power,Costs,O&M costs waste incinerator,,0%,,,,,
844,,,,,,Costs & efficiencies,Renewable electricity,Waste power,Efficiencies (LHV),Waste incinerator,,31%,,,,,"Based on intial testing, even under max waste power use (2.3GW) this variable has little to no effect on any of the core outputs "
845,,,,,,Costs & efficiencies,Renewable electricity,Waste power,Efficiencies (LHV),Waste CHP - electricity,,40%,,,,,
846,,,,,,Costs & efficiencies,Renewable electricity,Waste power,Efficiencies (LHV),Waste CHP - heat,,0%,,,,,
847,,,,,,Costs & efficiencies,Renewable electricity,Hydrogen plants,Costs,Investment costs hydrogen plants ,,0%,,,,,
848,,,,,,Costs & efficiencies,Renewable electricity,Hydrogen plants,Costs,O&M costs hydrogen plant,,0%,,,,,
849,,,,,,Costs & efficiencies,Renewable electricity,Hydrogen plants,Efficiencies (LHV),Hydrogen turbine,,34%,,,,,
850,,,,,,Costs & efficiencies,Renewable electricity,Hydrogen plants,Efficiencies (LHV),Hydrogen plant (CCGT),,60%,,,,,
851,,,,,,Costs & efficiencies,Renewable electricity,Hydrogen plants,Efficiencies (LHV),Hydrogen turbine CHP (industry) - electricity,,33%,,,,,
852,,,,,,Costs & efficiencies,Renewable electricity,Hydrogen plants,Efficiencies (LHV),Hydrogen turbine CHP (industry) - heat,,41%,,,,,
853,,,,,,Costs & efficiencies,Infrastructure ,Electricity infrastructure costs,Costs new low voltage net,,,916,,,,,
854,,,,,,Costs & efficiencies,Infrastructure ,Electricity infrastructure costs,Costs new lv-mv transformator,,,200,,,,,
855,,,,,,Costs & efficiencies,Infrastructure ,Electricity infrastructure costs,Costs new medium voltage net,,,690,,,,,
856,,,,,,Costs & efficiencies,Infrastructure ,Electricity infrastructure costs,Costs new low mv-hv transformator,,,250,,,,,
857,,,,,,Costs & efficiencies,Infrastructure ,Electricity infrastructure costs,Costs new high voltage net,,,364,,,,,
858,,,,,,Costs & efficiencies,Infrastructure ,Electricity infrastructure costs,Costs new interconnector net,,,364,,,,,
859,,,,,,Costs & efficiencies,Infrastructure ,Electricity infrastructure costs,Costs new offshore net,,,"1,159.00",,,,,
860,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Households - efficiencies (LHV),Condensing combi boiler (gas),,107%,,100% is the base year,,,Modern condensing gas is already near theoretical limits
861,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Households - efficiencies (LHV),Condensing combi boiler (hydrogen),,110%,,100% is the base year,,,Not used
862,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Households - efficiencies (LHV),Wood pellet heater,,82%,,100% is perfect efficiency,,,Upper range of current
863,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Households - efficiencies (LHV),Electric boiler,,100%,,100% is perfect efficiency,,,Default
864,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Households - efficiencies (LHV),Gas-fired heater,,80%,,100% is perfect efficiency,,,Not used
865,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Households - efficiencies (LHV),Oil-fired heater,,85%,,100% is perfect efficiency,,,Not used
866,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Households - COP,Ground heat pump,,4.8,COP,How many kW of heat can be generated from 1kW electricity. Usually 3-5,,,Upper range of current
867,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Households - COP,Air heat pump,,100%,,100% is the base year,,,
868,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Households - COP,Hybrid air heat pump (gas),,100%,,,,,
869,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Households - COP,Hybrid air heat pump (hydrogen),,100%,,,,,
870,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Households - COP,Hybrid air heat pump (crude oil),,100%,,,,,
871,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Buildings - efficiencies (LHV),Condensing combi boiler (gas),,107%,,,,,Same as households
872,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Buildings - efficiencies (LHV),Condensing combi boiler (hydrogen),,110%,,,,,
873,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Buildings - efficiencies (LHV),Electric boiler,,82%,,,,,
874,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Buildings - efficiencies (LHV),Biomass-fired heater,,100%,,,,,
875,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Buildings - efficiencies (LHV),Oil-fired heater,,85%,,,,,
876,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Buildings - COP,Water heat pump with TS,,3.8,COP,,,,Water heat pumps have lower COP
877,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Buildings - COP,Air heat pump,,100%,,,,,100% is the base year
878,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Buildings - COP,Hybrid air heat pump (gas),,100%,,,,,100% is the base year
879,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Buildings - COP,Hybrid air heat pump (hydrogen),,100%,,,,,100% is the base year
880,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Buildings - COP,Hybrid air heat pump (crude oil),,100%,,,,,100% is the base year
881,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Agriculture - COP,Water heat pump,,4.5,,,,,Agricultural use heat pumps may have higher COP as internal temperatures do not need to be as high for animals vs humans
882,,,,,,Costs & efficiencies,Heat,Efficiencies heating built environment ,Agriculture - COP,Water heat pump with TS,,5,,,,,Default is 23 for some reason - thermal storage might increase COP so used 5 instead of 4.5
883,,,,,,Costs & efficiencies,Heat,Costs heating ,Heat pumps,Electric heat pumps,,-25%,,0% is cost stays same as base year,,,Winksel et al 2024. 2050 average projection
884,,,,,,Costs & efficiencies,Heat,Costs heating ,Heat pumps,Households LT heat delivery system,,0%,,,,,District heating not used
885,,,,,,Costs & efficiencies,Heat,Costs heating ,Geothermal ,Investment costs geothermal energy,,0%,,,,,
886,,,,,,Costs & efficiencies,Heat,Costs heating ,Geothermal ,O&M costs geothermal energy,,0%,,,,,
887,,,,,,Costs & efficiencies,Heat,Costs heating ,Solar thermal,Investment costs solar thermal energy,,0%,,,,,
888,,,,,,Costs & efficiencies,Heat,Costs heating ,Solar thermal,O&M costs geothermal energy,,0%,,,,,
889,,,,,,Costs & efficiencies,Heat,Costs heating ,Residual heat,Imported (residual) heat,,11.6,EUR/GJ,Average cost of heat extraction from different industrial processes,,,UK 2050 ETM default (2050 and 2020 appear to be same defaults for most metrics)
890,,,,,,Costs & efficiencies,Heat,Costs heating ,Residual heat,Industrial residual heat,,0%,,0% is same as base year,,,
891,,,,,,Costs & efficiencies,Heat,Costs heating ,Heat delivery system,HT apartments,,"1,174.00",EUR/connection,,,,
892,,,,,,Costs & efficiencies,Heat,Costs heating ,Heat delivery system,MT apartments,,"1,174.00",EUR/connection,,,,
893,,,,,,Costs & efficiencies,Heat,Costs heating ,Heat delivery system,LT apartments,,"2,382.00",EUR/connection,,,,
894,,,,,,Costs & efficiencies,Heat,Costs heating ,Heat delivery system,HT ground level houses,,"2,054.00",EUR/connection,,,,
895,,,,,,Costs & efficiencies,Heat,Costs heating ,Heat delivery system,MT ground level houses,,"2,054.00",EUR/connection,,,,
896,,,,,,Costs & efficiencies,Heat,Costs heating ,Heat delivery system,LT ground level houses,,"4,144.00",EUR/connection,,,,
897,,,,,,Costs & efficiencies,Heat,Costs heating ,Heat delivery system,HT buildings,,"16,706.00",EUR/connection,,,,
898,,,,,,Costs & efficiencies,Heat,Costs heating ,Heat delivery system,MT buildings,,"16,706.00",EUR/connection,,,,
899,,,,,,Costs & efficiencies,Heat,Costs heating ,Heat delivery system,LT buildings,,"25,386.00",EUR/connection,,,,
900,,,,,,Costs & efficiencies,Heat,Costs district heating infrastructure ,Indoor costs,,,100%,,,,,
901,,,,,,Costs & efficiencies,Heat,Costs district heating infrastructure ,Pipelines and exchanger stations,,,100%,,,,,
902,,,,,,Costs & efficiencies,Heat,Costs district heating infrastructure ,Heat storage,HT (seasonal) storage,,43.2,EUR/MWh,,,,
903,,,,,,Costs & efficiencies,Heat,Costs district heating infrastructure ,Heat storage,MT (seasonal) storage,,43.2,EUR/MWh,,,,
904,,,,,,Costs & efficiencies,Heat,Costs district heating infrastructure ,Heat storage,LT (seasonal) storage,,43.2,EUR/MWh,,,,
905,,,,,,Costs & efficiencies,Hydrogen,Hydrogen production,Costs,Investment costs power-to-gas,,-50%,,0% is base year,,,"Substantial cost decreases due to learning rate (currently in early adoption phase). For Europe this brings costs in line or slightly above steam methane reforming and higher than the 3x reductions seen elsewhere, so still conservative"
906,,,,,,Costs & efficiencies,Hydrogen,Hydrogen production,Costs,Investment costs ammonia reformer,,-20%,,,,,"Moderate cost reductions, c. 1% per year "
907,,,,,,Costs & efficiencies,Hydrogen,Hydrogen production,Efficiencies (LHV),Power-to-gas electrolysers,,66%,,100% is perfect efficiency ,,,UK 2050 ETM default
908,,,,,,Costs & efficiencies,Hydrogen,Hydrogen production,Efficiencies (LHV),Ammonia reformer,,69%,,,,,UK 2050 ETM default
909,,,,,,Costs & efficiencies,Hydrogen,Hydrogen storage,Storage costs salt cavern,,,550,EUR/MWh,,,,
910,,,,,,Costs & efficiencies,Hydrogen,Hydrogen storage,Storage costs depleted gas field,,,350,,,,,
911,,,,,,Costs & efficiencies,Hydrogen,Hydrogen transport,Onshore,Total costs H2 pipelines,,0.5,EUR/MWh,,,,"UK 2050 ETM default. Assumes new dedicated hydrogen pipelines constructed (high cost estimate, 10x higher than pipe in pipe)"
912,,,,,,Costs & efficiencies,Hydrogen,Hydrogen transport,Onshore,Total costs H2 compressed trucks,,50.1,EUR/MWh,,,,UK 2050 ETM default. Half of costs are labour so better truck design has marginal impact
913,,,,,,Costs & efficiencies,Hydrogen,Hydrogen transport,Offshore,Total costs offshore H2 pipelines,,0.7,EUR/MWh,,,,UK 2050 ETM default. Assumes new dedicated hydrogen pipelines (high cost estimate)
914,,,,,,Costs & efficiencies,Hydrogen,Imported hydrogen carriers and ammonia,Hydrogen ,,,60,EUR/MWh,,,,"UK 2050 ETM default. SMR cost is 40.5 EUR/MWh, current combined wind & sun cost (North Sea installation) is 157.4 EUR/MWh"
915,,,,,,Costs & efficiencies,Hydrogen,Imported hydrogen carriers and ammonia,Liquid hydrogen,,,75,EUR/MWh,,,,UK 2050 ETM default
916,,,,,,Costs & efficiencies,Hydrogen,Imported hydrogen carriers and ammonia,LOHC,,,63,EUR/MWh,,,,
917,,,,,,Costs & efficiencies,Hydrogen,Imported hydrogen carriers and ammonia,Ammonia,,,43,EUR/MWh,,,,
918,,,,,,Costs & efficiencies,Transport,Electric vehicles,,,,1.00%,%/year,0% is base year,,,Based on ETM verbal guidance
919,,,,,,Costs & efficiencies,Transport,Hydrogen vehicles,,,,0.00%,%/year,,,,
920,,,,,,Costs & efficiencies,Transport,Combustion engine vehicles,,,,2.00%,%/year,,,,
921,,,,,,Costs & efficiencies,Transport,Trains,,,,0.50%,%/year,,,,
922,,,,,,Costs & efficiencies,Transport,Ships,,,,1.00%,%/year,,,,
923,,,,,,Costs & efficiencies,Transport,Airplanes,,,,0.50%,%/year,,,,
924,,,,,,Costs & efficiencies,Fuel prices,Fossil fuels,Natural gas,,,InVar,EUR/MWh,,41.85,148.25,"Highest and lowest value of yearly average EU gas prices for semiannual 2008-2023 timeframe, +/-25%"
925,,,,,,Costs & efficiencies,Fuel prices,Fossil fuels,Oil,,,InVar,USD/barrel,,40,100,
926,,,,,,Costs & efficiencies,Fuel prices,Fossil fuels,Coal,,,66,$/tonne,,,,UK 2050 ETM default. Coal not used
927,,,,,,Costs & efficiencies,Fuel prices,Nuclear fuels,Uranium,,,InVar,EUR/kg,,50,200,Set as InVar in case testing sensitivity of total energy cost to fuel prices under different renewables penetration scenarios. Feb 2025 UK gas prices: 50-55 EUR/MWh 
928,,,,,,Costs & efficiencies,Fuel prices,Biofuels,Green gas,,,64,EUR/MWh,,,,Not used significantly
929,,,,,,Costs & efficiencies,Fuel prices,Biofuels,Biogas,,,57,EUR/MWh,,,,Not used significantly
930,,,,,,Costs & efficiencies,Fuel prices,Biofuels,Wood,,,InVar,EUR/tonne,,75,300,"ETM default is 150, range is /2 and x2"
931,,,,,,Costs & efficiencies,Fuel prices,Biofuels,Biodiesel,,,0.96,EUR/liter,,,,Not used significantly
