Sam,,,,,,Grey bold left align = Calculated as proportion of another variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Var no.,Formula,Min,Max,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40,Sample 41,Sample 42,Sample 43,Sample 44,Sample 45,Sample 46,Sample 47,Sample 48,Sample 49,Sample 50,Sample 51,Sample 52,Sample 53,Sample 54,Sample 55,Sample 56,Sample 57,Sample 58,Sample 59,Sample 60,Sample 61,Sample 62,Sample 63,Sample 64,Sample 65,Sample 66,Sample 67,Sample 68,Sample 69,Sample 70,Sample 71,Sample 72,Sample 73,Sample 74,Sample 75,Sample 76,Sample 77,Sample 78,Sample 79,Sample 80,Sample 81,Sample 82,Sample 83,Sample 84,Sample 85,Sample 86,Sample 87,Sample 88,Sample 89,Sample 90,Sample 91,Sample 92,Sample 93,Sample 94,Sample 95,Sample 96,Sample 97,Sample 98,Sample 99,Sample 100,Sample 101,Sample 102,Sample 103,Sample 104,Sample 105,Sample 106,Sample 107,Sample 108,Sample 109,Sample 110,Sample 111,Sample 112,Sample 113,Sample 114,Sample 115,Sample 116,Sample 117,Sample 118,Sample 119,Sample 120,Sample 121,Sample 122,Sample 123,Sample 124,Sample 125,Sample 126,Sample 127,Sample 128,Sample 129,Sample 130,Sample 131,Sample 132,Sample 133,Sample 134,Sample 135,Sample 136,Sample 137,Sample 138,Sample 139,Sample 140,Sample 141,Sample 142,Sample 143,Sample 144,Sample 145,Sample 146,Sample 147,Sample 148,Sample 149,Sample 150,Sample 151,Sample 152,Sample 153,Sample 154,Sample 155,Sample 156,Sample 157,Sample 158,Sample 159,Sample 160,Sample 161,Sample 162,Sample 163,Sample 164,Sample 165,Sample 166,Sample 167,Sample 168,Sample 169,Sample 170,Sample 171,Sample 172,Sample 173,Sample 174,Sample 175,Sample 176,Sample 177,Sample 178,Sample 179,Sample 180,Sample 181,Sample 182,Sample 183,Sample 184,Sample 185,Sample 186,Sample 187,Sample 188,Sample 189,Sample 190,Sample 191,Sample 192,Sample 193,Sample 194,Sample 195,Sample 196,Sample 197,Sample 198,Sample 199,Sample 200,Sample 201,Sample 202,Sample 203,Sample 204,Sample 205,Sample 206,Sample 207,Sample 208,Sample 209,Sample 210,Sample 211,Sample 212,Sample 213,Sample 214,Sample 215,Sample 216,Sample 217,Sample 218,Sample 219,Sample 220,Sample 221,Sample 222,Sample 223,Sample 224,Sample 225,Sample 226,Sample 227,Sample 228,Sample 229,Sample 230,Sample 231,Sample 232,Sample 233,Sample 234,Sample 235,Sample 236,Sample 237,Sample 238,Sample 239,Sample 240,Sample 241,Sample 242,Sample 243,Sample 244,Sample 245,Sample 246,Sample 247,Sample 248,Sample 249,Sample 250
610,% out of 100,0,100,35.574,52.601,84.122,37.072,85.114,79.994,60.367,80.745,5.366,2.543,47.394,25.623,70.055,81.004,8.589,77.666,67.466,85.061,26.617,10.849,87.886,50.835,69.034,48,14.894,65.419,38.676,69.088,73.763,41.492,10.252,42.841,65.019,43.739,95.614,79.508,74.226,77.661,29.897,61.445,36.565,48.937,63.299,36.714,59.609,67.322,70.04,33.868,15.156,15.749,66.384,26.081,65.285,3.228,43.65,31.835,29.808,81.839,58.533,99.357,37.903,62.45,46.32,67.378,14.629,28.364,79.671,95.834,65.869,78.757,79.778,24.511,57.605,50.857,62.111,38.644,28.779,8.187,47.888,39.293,25.616,58.247,10.566,40.029,12.75,87.918,85.463,69.253,24.637,92.617,76.406,15.846,67.191,20.46,68.15,56.305,35.182,10.103,53.996,63.627,78.463,86.672,58.475,77.156,96.829,82.578,15.538,72.567,71.581,67.109,88.138,12.793,47.907,75.543,13.317,34.8,46.743,53.503,33.968,31.619,74.899,41.54,49.419,27.732,35.044,85.546,50.002,46.306,41.638,97.17,61.214,0.445,56.84,84.072,60.493,34.149,99.034,23.991,30.895,34.821,58.193,78.213,63.917,93.617,0.504,44.077,52.564,56.797,62.715,18.774,60.784,68.255,77.534,9.088,36.575,31.165,11.962,93.562,44.584,83.175,53.122,37.112,79.823,55.33,66.216,17.939,94.688,60.849,91.539,75.331,12.112,55.879,64.41,12.425,33.957,17.31,75.166,14.841,15.654,93.32,46.253,25.554,85.593,89.875,96.198,82.498,2.172,49.686,79.439,83.521,43.47,52.964,84.76,5.883,63.432,37.524,45.44,0.592,10.638,38.23,25.961,19.001,16.394,64.053,59.043,17.705,78.723,26.377,80.679,68.422,77.749,18.121,32.034,72.435,21.86,6.432,92.464,3.673,12.887,36.507,98.018,81.294,51.849,89.924,4.287,76.275,23.746,92.855,75.751,26.814,86.61,60.379,85.306,52.933,96.623,60.581,31.253,52.838,42.915,97.324,20.81,71.568,31.789,74.215,96.576,83.457,54.86,71.935,37.247,89.282
611,0.5 to 30h RSV,0.5,30,20.892,11.268,4.996,23.222,17.563,8.21,6.163,2.42,0.585,7.566,14.539,14.528,19.805,20.187,23.851,15.262,13.292,12.895,24.692,0.285,7.15,17.608,4.23,28.429,29.212,28.12,9.031,23.118,6.121,26.359,7.378,9.278,4.613,26.896,17.739,10.949,10.925,6.533,0.996,2.984,27.611,18.509,21.599,20.755,4.055,22.224,11.38,23.975,11.192,1.42,14.71,4.393,0.398,0.325,17.299,28.421,5.97,24.123,28.553,4.385,27.476,0.343,13.216,6.833,1.316,25.564,21.685,0.553,16.562,26.367,11.945,20.767,6.747,1.656,13.07,7.985,28.347,8.644,23.931,1.661,0.641,20.587,1.753,20.979,24.498,19.354,19.367,24.365,12.068,18.405,17.061,2.749,6.044,20.472,18.386,25.626,4.477,16.628,8.705,12.533,26.478,10.239,4.375,14.847,9.54,0.65,13.097,9.794,2.268,12.066,2.933,16.121,21.572,6.622,21.644,10.63,2.971,25.681,27.88,17.094,0.441,24.874,20.901,23.421,22.648,20.627,4.276,9.956,11.757,21.098,26.146,8.393,5.004,5.677,25.388,0.593,2.076,19.637,1.868,10.421,7.654,20.227,28.178,1.008,14.874,18.655,18.544,0.003,12.407,5.325,26.293,1.155,11.238,2.114,23.445,24.885,7.259,11.421,24.554,9.093,5.757,23.8,15.036,27.001,11.836,13.242,25.186,5.916,16.62,21.613,6.379,15.07,29.289,24.681,23.847,9.333,11.65,17.813,20.968,3.561,22.298,21.588,24.433,22.046,14.207,18.618,19.709,10.177,9.684,14.09,18.649,6.754,28.624,2.38,23.14,21.979,22.818,2.539,6.287,4.185,2.59,9.962,5.281,13.143,0.307,14.87,5.629,29.399,16.978,12.809,13.754,17.03,24.495,12.55,26.543,1.21,10.686,21.713,14.194,22.583,7.513,8.886,6.893,0.868,22.052,1.946,28.171,29.265,21.825,17.355,7.497,6.028,16.45,3.735,8.716,13.949,4.77,10.062,3.803,29.4,5.908,8.632,5.879,9.264,23.278,0.966,8.751,9.68,25.569,4.162
612,% out of 100,0,100,87.601,17.015,62.049,37.945,22.37,98.317,65.245,60.278,12.925,48.626,52.272,67.459,12.946,88.672,20.557,61.687,11.771,17.731,84.186,54.865,19.494,20.146,49.548,94.734,77.561,54.296,38.016,30.439,37.038,20.411,31.057,62.727,31.232,7.851,28.373,40.501,31.432,80.97,90.321,21.73,52.236,67.977,20.739,30.755,74.539,85.101,61.74,72.47,1.548,28.109,54.726,70.558,28.233,86.484,52.246,63.185,57.639,82.051,60.728,76.961,69.898,40.631,41.733,79.698,85.706,32.959,24.471,86.718,8.831,79.919,12.978,43.568,97.84,97.146,27.417,62.276,52.935,62.778,69.62,74.253,71.628,18.263,7.863,39.722,16.035,21.192,69.949,4.558,20.864,21.044,86.63,87.498,39.882,61.783,40.155,72.805,29.696,70.527,94.296,2.908,87.724,15.844,20.569,54.79,68.514,91.646,64.099,81.615,36.69,94.819,54.781,5.883,91.778,54.248,60.843,70.398,19.749,79.698,44.577,17.643,40.313,26.352,63.197,82.43,58.76,8.832,28.423,41.873,51.211,95.461,46.624,33.835,70.961,33.215,0.437,90.217,8.612,0.305,86.267,42.162,53.788,51.629,51.634,32.174,27.315,10.334,0.203,60.904,1.421,49.752,48.388,74.012,88.554,57.309,55.359,73.028,27.622,48.445,16.888,90.019,33.964,1.683,10.719,90.795,58.052,16.296,7.612,36.48,31.884,3.099,41.525,55.246,13.663,49.656,95.754,3.542,6.203,34.444,6.437,36.919,80.175,84.449,50.245,25.921,51.074,23.416,63.278,63.346,42.291,35.67,29.716,9.229,39.351,88.04,54.182,44.349,91.218,56.552,61.655,40.524,77.157,9.701,21.148,15.962,57.966,96.156,15.25,28.288,90.949,29.783,5.055,81.738,80.954,32.135,18.82,3.678,3.743,2.675,18.119,22.493,0.167,54.287,49.484,76.233,60.777,60.754,0.166,88.487,28.285,84.9,66.276,75.989,74.53,22.947,65.743,89.392,23.1,5.888,2.032,44.994,19.599,58.602,54.308,98.52,18.392,16.57,63.712,61.875,53.629,15.114
613,0.5 to 30h RSV,0.5,30,12.547,11.373,21.52,27.47,23.743,22.826,22.896,9.565,19.819,12.566,27.51,20.977,18.182,17.991,12.657,11.925,5.574,28.415,4.586,2.983,28.774,28.439,0.361,2.517,7.731,22.142,23.251,26.516,11.881,29.311,16.98,28.868,4.833,16.352,25.814,0.986,24.355,27.561,13.099,22.927,2.871,12.768,1.076,10.995,15.514,0.697,28.112,12.888,14.844,24.442,23.025,19.895,1.183,20.824,24.944,25.286,25.817,23.257,13.52,27.266,1.784,26.251,16.804,29.442,10.478,0.579,26.351,10.081,16.868,0.38,1.904,23.539,10.378,9.011,11.842,15.918,15.845,1.708,11.754,8.904,16.249,2.247,28.699,20.418,17.915,23.683,9.678,17.099,7.911,17.715,22.623,10.942,19.525,21.481,22.933,6.573,27.796,28.544,26.398,9.264,12.905,24.421,20.433,27.373,2.523,24.904,24.671,9.258,15.655,9.587,27.709,20.309,26.866,13.971,7.796,12.041,7.07,18.779,10.883,5.326,8.94,26.791,27.989,14.536,3.898,1.523,22.72,14.068,20.954,6.092,29.475,4.491,7.191,23.277,21.594,18.717,13.476,8.364,13.311,25.851,26.233,5.725,20.424,10.384,8.257,13.859,14.923,21.781,27.624,25.323,6.18,5.028,0.654,6.87,2.042,16.534,29.465,14.454,19.402,1.528,4.079,19.305,5.699,9.454,4.528,25.909,29.29,16.297,22.229,10.782,15.362,12.645,21.463,0.158,5.126,25.775,7.435,16.535,22.768,26.468,24.491,17.408,6.76,8.675,1.599,21.663,5.383,27.571,21.105,16.162,2.158,12.768,2.196,1.172,8.074,11.565,5.35,25.15,2.866,4.422,6.988,25.063,22.007,17.925,20.602,0.212,25.589,7.909,9.14,0.28,23.75,11.773,14.593,16.294,12.99,28.099,11.496,22.968,23.256,16.903,20.09,6.984,21.732,21.428,6.668,28.893,16.987,10.756,23.076,28.564,6.981,7.395,6.944,26.778,1.493,15.618,8.668,23.869,20.944,17.427,16.195,11.752,11.448,8.252,3.861,27.65,28.548,1.523,9.043,17.297
614,% out of 100,0,100,47.443,35.087,97.341,90.274,9.989,86.731,11.733,77.96,13.745,5.875,89.179,98.36,42.73,18.757,95.704,94.515,67.533,12.106,73.27,59.222,93.125,51.917,74.101,37.777,38.103,25.59,18.421,44.457,41.454,56.873,89.611,26.799,9.841,62.696,53.428,79.742,76.02,1.793,60.661,6.304,97.896,63.181,7.039,34.311,88.772,77.932,81.811,42.641,40.465,69.358,45.802,60.914,3.108,62.326,97.747,62.913,91.291,55.854,11.606,23.749,46.231,67.839,90.495,55.631,97.075,47.424,46.177,46.601,86.717,28.635,38.729,29.686,48.238,51.825,45.18,41.582,69.93,75.928,8.782,16.463,30.344,88.094,7.376,20.516,91.027,83.955,58.796,4.357,54.395,64.329,53.103,10.033,28.884,25.595,14.679,47.455,28.386,69.372,2.742,31.71,67.616,40.153,99.401,88.705,49.879,24.009,3.285,12.689,20.676,68.453,77.314,67.762,67.651,37.236,45.272,36.385,15.265,31.56,14.822,84.86,87.165,86.769,93.942,69.66,48.668,57.696,76.735,36.005,8.442,26.646,91.661,64.753,38.875,10.499,61.983,85.932,25.118,70.711,54.487,56.108,32.431,60.941,47.529,26.397,94.548,28.302,40.079,44.513,27.587,34.03,22.182,48.946,40.018,66.673,15.175,35.663,86.157,54.095,2.821,15.576,39.915,57.746,72.425,47.134,2.087,81.394,71.449,5.708,73.384,75.018,67.155,57.971,69.04,68.626,93.089,81.836,4.354,54.451,43.074,54.88,18.505,39.997,52.369,98.568,28.112,0.163,54.492,76.141,50.537,10.325,19.061,43.516,17.257,63.143,42.29,19.384,69.223,91.857,72.057,13.129,35.131,47.903,35.45,83.524,30.965,78.618,68.532,52.463,39.89,43.097,76.145,65.053,55.466,85.18,13.421,20.842,92.939,17.497,13.064,8.353,9.09,64.912,35.532,88.665,42.905,69.542,7.846,52.836,23.167,24.557,7.303,61.448,34.257,76.797,63.67,69.094,63.445,68.043,49.931,38.684,50.007,20.069,97.555,65.172,3.443,63.385,25.34,47.481,48.599,94.733
615,0.5 to 30h RSV,0.5,30,1.954,21.522,17.386,27.869,13.829,3.859,3.597,28.129,27.522,16.103,15.395,15.613,4.694,12.142,7.243,9.771,10.018,5.744,27.154,26.207,28.371,6.612,24.693,5.89,3.997,16.368,27.341,11.621,20.701,4.326,3.087,2.463,16.8,11.077,14.142,6.292,4.548,8.759,26.164,5.408,19.156,27.424,3.477,28.835,25.897,18.944,28.449,15.367,17.842,16.205,12.678,2.192,10.052,12.387,22.326,10.136,20.731,12.199,9.512,19.894,20.999,18.729,11.189,19.665,4.565,22.973,7.122,18.959,2.08,16.779,5.504,4.685,12.243,9.938,5.649,17.44,3.651,19.931,25.461,24.228,18.078,23.755,14.008,11.45,27.506,28.544,4.491,3.27,16.663,1.145,19.316,10.562,10.406,21.738,17.111,3.941,25.723,6.845,10.512,15.517,5.996,3.761,23.241,0.486,9.456,23.239,9.93,10.301,28.092,25.476,8.567,16.287,0.369,8.185,9.96,5.764,19.835,13.257,17.732,8.949,18.397,5.948,7.976,4.983,28.634,23.956,27.915,5.144,22.693,6.898,13.87,2.497,23.476,25.319,26.698,17.505,18.471,2.672,28.185,17.927,23.433,13.308,20.707,8.087,19.442,7.524,0.159,0.728,14.925,4.121,6.223,7.21,7.78,23.741,4.876,11.58,2.984,28.58,8.462,25.387,15.652,6.584,12.966,2.535,24.912,3.93,2.323,16.335,4.088,11.971,17.546,20.9,0.17,5.822,28.043,22.359,4.426,17.032,3.706,23.659,27.81,10.238,18.052,15.784,24.093,23.904,26.452,2.779,24.864,29.3,19.655,7.736,25.995,25.762,24.655,26.355,24.076,1.853,11.771,25.434,7.106,22.697,17.213,26.639,22.198,20.106,15.165,3.076,23.449,21.112,11.482,5.957,5.173,19.968,11.286,16.988,3.961,21.503,6.389,7.206,12.418,1.056,8.182,26.672,9.238,10.384,13.018,25.032,25.159,19.416,8.595,19.204,4.708,25.712,12.72,6.215,11.151,5.495,20.657,13.362,26.768,17.733,5.48,4.143,19.738,20.443,15.32,3.973,10.04,29.024
619,"MW out of 50,000",0,"50,000",10420.571,34743.393,10976.036,2437.328,38059.613,16104.091,22556.312,24532.626,42162.519,20838.239,3427.358,13128.03,30890.606,44754.254,41769.564,35801.661,27682.794,23800.141,22012.919,48160.038,44695.605,23167.306,29139.727,49039.444,9173.151,44742.197,16240.518,12664.489,21199.234,49488.749,36068.87,19153.148,39795.18,43294.975,39831.425,262.649,37705.311,14319.27,30941.617,31432.021,10888.723,41609.038,33101.243,49460.457,7397.481,27746.302,36927.457,36919.196,40872.598,44439.554,10660.798,8798.177,6350.695,4076.455,33032.104,31860.374,22004.677,16628.859,14043.914,190.153,44529.747,118.741,35688.214,42415.115,30666.588,48336.74,39605.684,38900.447,29574.359,12576.715,37922.506,40501.318,41046.924,36589.844,21298.722,31853.169,24202.017,17218.431,10746.303,37398.437,24961.065,23315.594,10041.617,35836.08,26706.488,40186.312,14720.099,46007.313,31259.827,49827.584,28236.816,47745.8,31764.022,45566.843,20194.363,46822.152,10853.198,4784.39,17123.179,48926.353,26298.364,24745.058,44315.452,38792.08,1027.892,47140.714,1214.086,36298.184,3983.694,48390.546,12054.535,3251.571,5225.058,5316.075,39974.066,5911.92,10911.236,35699.442,45867.305,25227.495,38654.001,34209.978,23836.141,40081.231,22466.922,38538.485,45987.981,13849.56,5304.983,15683.269,33570.348,43109.593,10820.639,14070.275,27054.622,21878.199,10280.21,31120.559,21828.218,20935.95,27295.133,34384.123,40167.185,18078.768,8697.807,14506.59,33717.131,22155.633,21094.883,6028.092,24271.581,24062.574,14492.781,33470.918,34525.791,42075.165,12922.374,9327.493,39987.142,35464.219,5494.059,5560.957,33360.555,27638.214,10022.038,9267.761,25444.057,45677.997,44199.855,46813.003,16907.116,29014.156,33945.061,26148.154,43278.566,15465.42,26506.448,2252.846,834.475,47364.159,46572.936,27309.373,2080.413,39819.748,24231.385,698.133,35907.841,19267.454,40636.8,43933.68,9471.641,6984.802,39188.109,6634.023,37595.839,19280.858,13280.099,18063.429,40416.363,5640.238,36358.037,39209.426,20952.931,14087.487,41980.314,47076.884,23105.966,40162.022,12664.74,24401.525,7711.533,23409.414,19468.952,25832.361,11256.031,32254.798,10458.189,33447.878,47103.901,4326.695,27547.711,18495.974,49933.962,17157.659,1453.343,49640.293,1970.352,21412.825,33177.884,1775.497,4122.349,48237.541,46507.317,32481.62,450.067,18236.642,35234.707,32785.52,16103.34,23980.471,30306.359,17828.17,15447.263,38331.853,24932.919,3918.621,49190.402,5516.464,34464.359,49173.808
620,0.5 to 30h RSV,0.5,30,10.866,7.873,17.63,22.169,19.99,14.278,10.887,23.761,24.842,26.524,1.62,7.009,24.438,2.715,13.664,1.369,11.877,5.524,2.334,7.215,3.961,4.152,13.516,18.963,2.187,17.999,22.35,8.627,12.869,3.503,11.145,28.353,13.2,10.32,10.591,11.081,4.885,17.999,29.379,22.655,7.04,25.332,21.509,21.735,23.734,23.926,8.33,19.228,10.914,25.254,29.034,16.362,25.993,13.122,25.752,26.66,24.407,17.072,19.9,22.472,20.946,0.853,4.116,2.075,15.285,3.483,5.841,8.536,10.668,7.395,15.019,4.257,19.629,7.022,17.285,23.977,22.79,10.044,9.177,24.503,28.144,13.56,13.525,11.256,13.414,25.269,13.647,27.364,13.96,20.32,15.529,26.827,28.536,26.614,12.904,16.603,5.017,3.461,23.158,7.869,5.497,4.67,6.738,4.268,17.492,28.926,5.738,23.127,26.447,22.636,29.011,14.717,16.044,15.599,17.937,7.668,21.535,23.625,17.372,25.434,0.761,2.871,25.426,0.374,12.323,21.439,9.401,29.007,19.407,18.51,20.672,10.74,5.471,4.986,28.93,13.605,24.73,9.06,17.414,8.796,10.931,25.767,27.173,1.502,14.13,13.17,24.561,26.504,16.833,13.228,19.381,27.903,23.041,10.281,27.734,11.41,16.139,22.825,7.686,16.556,10.41,23.753,10.825,28.711,11.412,0.668,10.321,17.061,24.473,1.758,21.311,0.929,15.176,5.37,13.366,23.001,7.215,6.663,18.945,16.289,27.187,2.762,16.044,10.596,17.883,8.576,1.868,11.481,2.391,29.442,23.974,24.862,23.819,18.648,19.46,12.371,2.212,6.293,1.962,0.236,13.783,24.517,24.476,3.295,29.22,3.915,20.51,2.508,25.908,18.937,21.205,10.928,10.497,11.781,6.034,4.298,14.083,24.092,23.408,2.895,14.762,21.193,18.859,15.936,19.391,16.762,22.016,16.199,28.933,6.955,18.692,19.836,8.106,17.704,10.078,28.17,1.13,4.485,21.969,23.058,3.506,26.545,17.992,26.629,19.505,11.4,5.464,10.945,15.553,13.181
624,"MW out of 10,000",0,10000,289.62,8557.429,1300.915,3276.233,4698.926,5629.507,6271.537,1424.438,8987.999,3012.074,5865.164,6296.068,1462.994,9319.555,8242.545,493.047,6244.231,4149.074,5745.757,1314.572,3115.036,5157.238,8229.614,1879.543,3472.675,1096.115,132.165,8806.627,3972.04,3741.24,8144.92,4613.426,6670.333,2079.016,1874.835,2523.511,2565.767,4457.357,1336.352,6778.81,5470.797,501.603,1934.339,7578.208,1262.749,5991.202,2743.708,4956.167,9102.377,6805.795,9918.347,2478.994,5791.986,5381.416,1229.501,7005.167,7140.672,6290.926,8514.765,9764.048,6503.715,4437.186,4744.362,3292.304,5483.834,5051.323,8917.59,5975.072,3997.604,4226.919,4383.694,1010.586,6978.352,5408.692,4279.07,672.966,7257.418,9658.01,5928.633,8543.323,1661.112,1396.159,291.496,4260.361,5550.128,3589.118,4727.662,7444.058,9244.872,2271.893,7049.496,937.113,2295.543,6938.962,5585.062,8698.604,8947.424,6739.053,7124.371,7956.955,6149.592,1655.52,4993.586,5756.348,5235.938,633.327,6899.873,5928.843,2592.838,9397.832,5040.426,6131.904,601.326,6975.246,2408.302,5817.924,7644.256,219.259,4900.738,5052.842,3786.421,9162.449,3178.296,650.11,1459.807,8397.898,1175.656,4205.147,1114.486,1462.059,827.49,8023.879,5738.994,2146.127,1898.05,3630.027,5499.364,2420.26,422.568,8624.668,3707.129,8765.683,1647.486,5352.972,9529.941,4193.727,3678.924,7455.133,5953.067,7119.23,9482.076,3730.055,622.217,6482.829,7263.251,7451.701,1100.621,1670.789,6969.373,5920.684,5418.273,9570.196,6132.98,6642.255,9940.263,241.136,6821.216,8038.03,6571.869,2112.638,8235.593,1069.867,3769.156,8033.452,6549.012,2918.62,3249.238,33.631,9374.293,5132.209,2690.957,7787.762,3219.796,7386.287,9497.056,4460.308,5135.357,4407.059,3048.376,4337.43,5923.929,2320.382,5595.23,4366.885,8059.176,2527.456,1558.099,7651.677,493.072,5712.355,2731.795,2807.097,7100.32,9130.352,4818.741,3395.857,8375.025,7916.144,36.477,9223.783,8005.775,4990.658,5686.756,9707.479,271.666,900.779,5446.706,9022.597,7150.469,4373.137,843.854,6238.792,5757.984,1275.525,2977.675,2943.623,10.341,2495.355,7555.496,6457.972,3259.877,9369.529,8239.005,8124.129,1435.054,8730.189,2247.709,2233.292,8893.916,2991.07,7490.444,6628.195,5936.271,9280.761,2106.534,5533.465,7666.086,2807.038,1953.035,4857.726
625,0.5 to 100 RSV,0.5,100,8.981,88.157,17.117,75.995,52.726,29.346,62.576,23.927,94.028,85.057,0.9,96.664,89.363,62.621,34.906,22.708,49.939,75.793,66.801,12.263,94.04,35.176,87.515,58.118,36.364,84.927,56.03,51.215,14.71,74.728,24.683,46.246,53.053,68.201,96.13,4.671,49.67,47.37,91.707,90.242,68.398,25.901,14.552,72.182,49.709,1.635,0.704,53.062,71.18,49.797,16.974,79.258,36.953,10.823,60.808,13.372,28.437,16.41,47.538,75.052,89.144,26.605,11.358,17.003,84.694,23.349,85.448,9.838,92.895,72.007,72.604,9.695,55.005,79.137,95.289,30.671,38,89.985,65.409,37.537,16.242,37.008,10.937,72.391,42.163,76.192,35.134,79.751,54.325,10.242,87.785,79.199,91.529,46.593,14.22,58.084,41.792,9.239,59.801,27.706,41.009,37.849,25.556,29.519,69.71,85.445,42.389,15.493,87.034,72.026,53.728,95.26,84.33,91.937,35.409,27.232,39.162,55.377,44.194,61.661,67.164,92.055,82.821,95.71,55.439,54.108,30.247,18.801,49.384,32.566,45.022,25.946,81.972,17.586,75.365,13.188,42.756,36.372,22.074,53.326,86.953,6.143,16.599,2.225,90.755,43.44,46.316,61.289,11.889,10.287,37.776,33.022,14.637,40.689,64.054,50.823,25.516,2.055,39.314,54.909,14.734,4.977,18.275,90.562,94.99,38.258,46.157,33.482,59.282,49.332,56.548,86.71,24.922,62.502,19.626,78.59,81.595,56.414,6.037,79.567,77.36,60.442,13.164,53.286,34.203,2.027,53.251,45.864,13.493,43.519,80.221,8.44,72.333,72.942,48.822,13.845,69.916,69.907,20.858,78.839,46.788,75.855,32.634,77.659,24.504,9.541,24.317,93.199,60.39,96.735,95.544,75.175,10.068,60.14,34.986,67.831,34.901,53.041,32.27,94.814,23.101,26.325,21.223,61.842,2.348,4.564,40.383,65.341,76.164,40.997,87.351,60.36,71.318,2.095,47.098,17.986,48.638,64.725,89.97,81.634,72.001,36.569,98.879,35.188,38.028,91.529,94.218,56.875,31.7,82.602
629,"MW out of 10,000",0,10000,8869.594,1766.579,8255.433,7873.141,2255.864,7956.119,9505.335,5423.171,2792.653,2727.985,3737.857,9184.532,2190.23,9840.314,9553.28,64.467,2203.454,6786.02,7900.179,1162.364,7097.785,6503.836,2933.904,9937.637,5691.357,4334.777,5359.885,286.513,9479.841,7796.725,6612.802,6408.091,6756.859,915.928,8900.294,4632.135,4418.864,7495.574,6755.485,3973.651,625.128,9527.599,8852.23,4101.082,5858.764,449.994,3985.532,1425.224,7357.706,8659.545,8867.134,2147,5342.159,6992.277,4222.655,7212.438,2096.124,9159.671,8655.188,5091.547,1128.848,9146.772,3340.518,3186.279,9920.188,7465.567,4309.878,8151.964,7715.353,4056.992,7175.988,6365.345,6499.124,5573.063,8485.45,437.883,659.498,668.747,2411.788,1719.469,413.259,6140.316,1970.52,974.09,8209.873,2009.444,5123.526,960.653,2885.595,3629.369,3416.39,3788.836,5867.214,9048.747,8387.988,7386.826,8871.739,460.717,3817.528,578.642,3476.515,2982.68,5680.058,3363.914,9973.001,3964.022,2969.458,4328.542,8629.042,2418.638,8398.736,4458.402,4802.833,8355.655,2170.882,7599.906,6087.228,640.883,4451.309,3573.239,5153.923,4151.77,6953.914,2479.338,233.266,8001.354,5335.807,2846.344,8758.274,3148.697,1518.927,9653.649,5640.868,8262.339,9847.983,1909.758,673.599,5621.14,3825.026,1042.013,2794.145,6946.153,9673.27,6143.606,9487.027,8925.135,3778.633,1849.617,9760.352,8752.667,4509.8,8671.813,6444.49,2696.077,1421.555,2939.254,62.263,5401.875,8533.976,8630.711,5124.208,1417.466,2442.44,5189.456,2132.531,4884.11,1728.766,7715.634,4912.771,9022.707,5415.219,1776.891,176.652,7691.213,444.75,8493.568,6628.31,4484.818,2639.444,3656.901,684.977,290.267,5390.844,7041.37,1588.869,7705.109,198.075,148.048,8587.247,4038.191,6212.254,4266.735,1547.107,7989.018,790.329,5622.909,4969.75,9482.942,2055.829,359.137,9756.503,1802.427,2648.418,2805.178,710.065,4991.595,6936.726,7567.979,9827.267,8813.829,5683.621,7950.899,5108.638,2477.794,6460.372,9639.701,1431.881,695.844,5746.916,989.014,4354.509,1302.758,456.659,4576.138,8549.673,9574.215,8158.143,7232.191,2099.373,1089.164,6727.841,7592.002,8562.017,9303.642,6518.515,145.662,6609.778,8524.427,2730.427,5854.029,3893.794,2085.873,6448.551,5343.857,2222.495,3885.446,1694.192,231.776,7473.566,5171.182
